période,champ.,marché,source,n,brier,ece,taux_reel,p_moyenne
2012-2019,extra,total_over_1.5,implicite 1X2,30530,0.19246537596527244,0.01785802147378999,0.7333770062233869,0.7158077555868618
2012-2019,extra,total_over_1.5,Dixon-Coles,25508,0.19586779096403142,0.02539105981768137,0.7302022894778109,0.7271508647062117
2012-2019,extra,total_over_2.5,implicite 1X2,30530,0.24590706823624453,0.03311357035626554,0.49125450376678675,0.45814093341052126
2012-2019,extra,total_over_2.5,Dixon-Coles,25508,0.24896112293675143,0.03933306924544559,0.4891406617531755,0.4772039499916789
2012-2019,extra,total_over_3.5,implicite 1X2,30530,0.19478949486542596,0.025355979394822453,0.27261709793645594,0.2486889868080052
2012-2019,extra,total_over_3.5,Dixon-Coles,25508,0.19694961389736754,0.0333967359195171,0.2712874392347499,0.26794248290394107
2012-2019,extra,dom_over_0.5,implicite 1X2,30530,0.17183327843120283,0.02025140957472992,0.765542089747789,0.7452906801730591
2012-2019,extra,dom_over_0.5,Dixon-Coles,25508,0.17556248353454296,0.022273825294427656,0.7649364905127803,0.7539506355893763
2012-2019,extra,dom_over_1.5,implicite 1X2,30530,0.22925814026274993,0.019067268268023227,0.4339993449066492,0.414932076638626
2012-2019,extra,dom_over_1.5,Dixon-Coles,25508,0.2351999342660624,0.02527754779297612,0.43347185196801,0.4276846084373728
2012-2019,extra,ext_over_0.5,implicite 1X2,30530,0.21288188289834561,0.027165376557786662,0.6687520471667212,0.6415866706089346
2012-2019,extra,ext_over_0.5,Dixon-Coles,25508,0.21672282891565192,0.018569393681556693,0.6658695311274894,0.656794871981078
2012-2019,extra,ext_over_1.5,implicite 1X2,30530,0.20339430313511353,0.02248995955606475,0.31172617097936456,0.28923621142329975
2012-2019,extra,ext_over_1.5,Dixon-Coles,25508,0.2068215365071401,0.01940489459974691,0.31013799592284774,0.30537850039668196
2012-2019,extra,btts_oui,implicite 1X2,30530,0.24840549608443124,0.0372391249333698,0.5148051097281363,0.4775659847947665
2012-2019,extra,btts_oui,Dixon-Coles,25508,0.24944971896525028,0.030022515479551367,0.5112513721185511,0.4969429225306871
2012-2019,majeurs,total_over_1.5,implicite 1X2,47948,0.19184298661375954,0.028661086433091856,0.7365687828480855,0.7101476194799892
2012-2019,majeurs,total_over_1.5,Dixon-Coles,44187,0.19421316730092422,0.029395172753067956,0.7345146762622491,0.7283956208042831
2012-2019,majeurs,total_over_2.5,implicite 1X2,47948,0.24511974823935542,0.03875604303910986,0.48934262117293736,0.4527933642630995
2012-2019,majeurs,total_over_2.5,Dixon-Coles,44187,0.2473831581769767,0.03326361321910586,0.4878131577160703,0.47666097111537775
2012-2019,majeurs,total_over_3.5,implicite 1X2,47948,0.19417911055359913,0.030797121066988117,0.27239926587136065,0.24585694556294435
2012-2019,majeurs,total_over_3.5,Dixon-Coles,44187,0.19513045320398567,0.02887604873159317,0.2702378527621246,0.2672274796458262
2012-2019,majeurs,dom_over_0.5,implicite 1X2,47948,0.1724874187880624,0.02766311190497104,0.7646617168599316,0.7369986049549606
2012-2019,majeurs,dom_over_0.5,Dixon-Coles,44187,0.1753708488037684,0.01708476515003855,0.7635956276732976,0.7494632477567837
2012-2019,majeurs,dom_over_1.5,implicite 1X2,47948,0.2276872399534586,0.02541672344103641,0.43067489780595647,0.40525817436492007
2012-2019,majeurs,dom_over_1.5,Dixon-Coles,44187,0.23253228796294012,0.020709782241993355,0.42924389526331275,0.42074743828147365
2012-2019,majeurs,ext_over_0.5,implicite 1X2,47948,0.21193679198840937,0.028814981155933884,0.6690372903979311,0.6402223092419972
2012-2019,majeurs,ext_over_0.5,Dixon-Coles,44187,0.2156421357575727,0.018071831715101395,0.6675945413809492,0.6612430494300021
2012-2019,majeurs,ext_over_1.5,implicite 1X2,47948,0.20263739346451962,0.024798572356573182,0.31452823892550263,0.28972966656892946
2012-2019,majeurs,ext_over_1.5,Dixon-Coles,44187,0.20616565233210907,0.021013539580124353,0.31280693416615746,0.3106800691098804
2012-2019,majeurs,btts_oui,implicite 1X2,47948,0.2498570503085307,0.043501059076836,0.5142028864603321,0.4707018273834961
2012-2019,majeurs,btts_oui,Dixon-Coles,44187,0.25039267668478093,0.03667033600557754,0.51239052209926,0.4978883270059925
2019-2026,extra,total_over_1.5,implicite 1X2,28869,0.18565215636231608,0.019025752437843976,0.7426997817728359,0.7247561004695886
2019-2026,extra,total_over_1.5,Dixon-Coles,28869,0.18873274578433732,0.024576725382069717,0.7426997817728359,0.7299857803733601
2019-2026,extra,total_over_2.5,implicite 1X2,28869,0.24076712358505448,0.028868401974219977,0.5023727874190308,0.4735043854448108
2019-2026,extra,total_over_2.5,Dixon-Coles,28869,0.2455092561639654,0.0315446611363702,0.5023727874190308,0.4815454264454313
2019-2026,extra,total_over_3.5,implicite 1X2,28869,0.19448227297516224,0.017671597253770543,0.28175551629775886,0.2652623232290636
2019-2026,extra,total_over_3.5,Dixon-Coles,28869,0.19865913977194205,0.0255470396196359,0.28175551629775886,0.2722724829754935
2019-2026,extra,dom_over_0.5,implicite 1X2,28869,0.17042027837430815,0.021986649665202956,0.7654577574560948,0.7434711077908919
2019-2026,extra,dom_over_0.5,Dixon-Coles,28869,0.17389783798574224,0.018891400372500224,0.7654577574560948,0.7497828395122977
